hold_strength,delay,policy,seed,turns,moves,stale_conflicts,mean_phase_error,p95_phase_error,mean_extra_hold,full_board,blue_win,yellow_win
0,1,blind_delay,2026083213,49,49,0,1.1548299670055464,2.6529412304285374,0.0,True,False,True
0,1,queue_aware,2026083213,49,49,0,1.1548299670055464,2.6529412304285374,0.0,True,False,True
0,1,blind_delay,2026083214,49,49,0,1.0541491473764568,2.62708715015215,0.0,True,False,True
0,1,queue_aware,2026083214,49,49,0,1.0541491473764568,2.62708715015215,0.0,True,False,True
0,2,blind_delay,2026093200,97,49,48,1.2318104836444244,2.7066466677663725,0.0,True,True,False
0,2,queue_aware,2026093200,49,49,0,1.0944760213164815,2.8554113496587523,0.0,True,False,True
0,2,blind_delay,2026093201,87,49,38,1.1816180107768988,2.5942748992027043,0.0,True,True,False
0,2,queue_aware,2026093201,49,49,0,1.0514559314975394,2.3462139996219395,0.0,True,False,True
0,2,blind_delay,2026093202,91,49,42,1.2382507907489084,2.8258557083171154,0.0,True,True,False
0,2,queue_aware,2026093202,49,49,0,1.1845396268669899,2.7070731931875294,0.0,True,True,False
0,2,blind_delay,2026093203,97,49,48,1.14993571722788,2.67225680533297,0.0,True,True,False
0,2,queue_aware,2026093203,49,49,0,1.068104555236002,2.3830884218659443,0.0,True,False,True
0,2,blind_delay,2026093204,90,49,41,1.2414766878362282,2.739097629758295,0.0,True,False,True
0,2,queue_aware,2026093204,49,49,0,1.2363282667837887,2.812843667092685,0.0,True,True,False
0,2,blind_delay,2026093205,93,49,44,1.1694883821098196,2.332492044382117,0.0,True,True,False
0,2,queue_aware,2026093205,49,49,0,1.048182651794624,2.437098630738537,0.0,True,False,True
0,2,blind_delay,2026093206,95,49,46,1.3145035246028283,2.6483640491507408,0.0,True,True,False
0,2,queue_aware,2026093206,49,49,0,1.1700339953044419,2.544692551997132,0.0,True,True,False
0,2,blind_delay,2026093207,89,49,40,1.2443356902382008,2.807861452545383,0.0,True,True,False
0,2,queue_aware,2026093207,49,49,0,1.1566795450302312,2.819376819913132,0.0,True,False,True
0,2,blind_delay,2026093208,97,49,48,1.3085646825206065,2.749561004218041,0.0,True,True,False
0,2,queue_aware,2026093208,49,49,0,1.3039443943869722,2.936730907229269,0.0,True,True,False
0,2,blind_delay,2026093209,86,49,37,1.0760410509812548,2.3783094846139514,0.0,True,False,True
0,2,queue_aware,2026093209,49,49,0,0.947232199617394,2.183059495866356,0.0,True,True,False
0,2,blind_delay,2026093210,97,49,48,1.2449377992953583,2.590223182800428,0.0,True,True,False
0,2,queue_aware,2026093210,49,49,0,1.1395580744459661,2.7188236524936573,0.0,True,False,True
0,2,blind_delay,2026093211,88,49,39,1.1830477533794765,2.6741824692279166,0.0,True,False,True
0,2,queue_aware,2026093211,49,49,0,1.069308673755071,2.7503096415232653,0.0,True,False,True
0,2,blind_delay,2026093212,90,49,41,1.1135990242878688,2.559886092899522,0.0,True,False,True
0,2,queue_aware,2026093212,49,49,0,1.1422141825698828,2.7644780217702243,0.0,True,False,True
0,2,blind_delay,2026093213,93,49,44,1.0919280461093273,2.531802535844513,0.0,True,True,False
0,2,queue_aware,2026093213,49,49,0,0.9985915828989577,2.161808386112366,0.0,True,False,True
0,2,blind_delay,2026093214,91,49,42,1.2582567293989895,2.8548383960121324,0.0,True,False,True
0,2,queue_aware,2026093214,49,49,0,1.1773671101578937,2.843366901221033,0.0,True,True,False
0,3,blind_delay,2026103200,91,49,42,1.1921455535731689,2.768249527319658,0.0,True,True,False
0,3,queue_aware,2026103200,49,49,0,1.1221121274004653,2.5583630637525103,0.0,True,False,True
0,3,blind_delay,2026103201,88,49,39,1.1725949337081205,2.8337069523363887,0.0,True,False,True
0,3,queue_aware,2026103201,49,49,0,1.2036579369693403,2.5105436390431586,0.0,True,False,True
0,3,blind_delay,2026103202,93,49,44,1.3346112926532128,3.088274576012921,0.0,True,True,False
0,3,queue_aware,2026103202,49,49,0,1.2368093138276628,2.944448008288454,0.0,True,False,True
