delay,policy,n_games,mean_min_modulus,mean_sector_margin,mean_pair_separation,mean_branch_crossing_samples,min_modulus_across_games,min_sector_margin_across_games,min_pair_separation_across_games
0,blind_delay,30,0.9447501421939962,-0.1803253968875223,0.001494801651461379,3617.9,0.8498853301329059,-0.4034631223373644,4.042434410025395e-06
0,queue_aware,30,0.9447501421939962,-0.1803253968875223,0.001494801651461379,3617.9,0.8498853301329059,-0.4034631223373644,4.042434410025395e-06
1,blind_delay,30,0.9438500095724003,-0.18209260881792852,0.0012332858120613296,3622.1,0.8515148973154457,-0.4276719580533621,3.794181624771843e-06
1,queue_aware,30,0.9438500095724003,-0.18209260881792852,0.0012332858120613296,3622.1,0.8515148973154457,-0.4276719580533621,3.794181624771843e-06
2,blind_delay,30,0.9404681686540813,-0.08161373269483103,0.0016517516494163587,3558.5333333333333,0.8410976392877683,-0.2209047836792479,4.091055013907782e-06
2,queue_aware,30,0.9437585613365697,-0.18084579231215878,0.0011349978819745767,3613.0333333333333,0.8725032175924078,-0.41077473941935494,5.257338362519684e-06
3,blind_delay,30,0.9319296782186615,-0.04735252070835257,0.002656657380639502,3405.4333333333334,0.8246427793288928,-0.1619233971237749,1.3948450893950314e-05
3,queue_aware,30,0.9399320709411102,-0.18387910729923485,0.001205729818468697,3611.633333333333,0.8645333386492972,-0.42313821382966654,5.27064582885684e-06
5,blind_delay,30,0.9316145765996494,-0.018523098739199415,0.0036201137374256634,2958.9,0.8183254098966116,-0.2188480620805916,1.3786845728992455e-05
5,queue_aware,30,0.9437059823548825,-0.18008277083467586,0.00128072052971992,3613.233333333333,0.8841572068248147,-0.401782742543962,7.857551838193432e-06
