delay,policy,seed,turns,moves,stale_conflicts,mean_phase_error,p95_phase_error,mean_extra_hold,full_board,blue_win,yellow_win
0,blind_delay,2026073129,49,49,0,1.0996904745409304,2.656634292753973,0.0,True,True,False
0,queue_aware,2026073129,49,49,0,1.0996904745409304,2.656634292753973,0.0,True,True,False
1,blind_delay,2026083100,70,49,21,1.1292190595557265,2.4736957887882283,0.5510204081632653,True,False,True
1,queue_aware,2026083100,49,49,0,1.0974797393238165,2.079536969611615,0.5918367346938775,True,False,True
1,blind_delay,2026083101,77,49,28,1.2968854182577234,2.9440678781680547,0.6530612244897959,True,True,False
1,queue_aware,2026083101,49,49,0,1.1686171834999823,2.523834181545852,0.5714285714285714,True,True,False
1,blind_delay,2026083102,59,49,10,1.0605087805524436,2.776495433652023,0.24489795918367346,True,True,False
1,queue_aware,2026083102,49,49,0,1.0703534486058457,2.590971790999363,0.30612244897959184,True,True,False
1,blind_delay,2026083103,79,49,30,1.1504198826192438,2.8323933363720473,0.6938775510204082,True,False,True
1,queue_aware,2026083103,49,49,0,1.0174401754043294,2.6844887806199855,0.5714285714285714,True,True,False
1,blind_delay,2026083104,62,49,13,1.131453731108809,2.4202128164617482,0.30612244897959184,True,True,False
1,queue_aware,2026083104,49,49,0,1.1938557758572386,2.6954109798030235,0.32653061224489793,True,False,True
1,blind_delay,2026083105,79,49,30,1.3652937551049826,2.950707032155938,0.7142857142857143,True,False,True
1,queue_aware,2026083105,49,49,0,1.285481499580656,2.6711202889563146,0.673469387755102,True,False,True
1,blind_delay,2026083106,83,49,34,1.20791251999434,2.80164381973843,0.7755102040816326,True,False,True
1,queue_aware,2026083106,49,49,0,1.1739440538981278,2.910737093018381,0.6530612244897959,True,True,False
1,blind_delay,2026083107,71,49,22,1.201765509603682,2.994772390951981,0.5918367346938775,True,False,True
1,queue_aware,2026083107,49,49,0,1.0550875176447543,2.4922159609747925,0.673469387755102,True,False,True
1,blind_delay,2026083108,73,49,24,1.1902408648903977,2.611703133301554,0.6326530612244898,True,False,True
1,queue_aware,2026083108,49,49,0,1.1395593071823653,2.2870718809338197,0.6326530612244898,True,True,False
1,blind_delay,2026083109,57,49,8,1.1626451680627885,2.936323018862395,0.24489795918367346,True,True,False
1,queue_aware,2026083109,49,49,0,1.0233225055640878,2.4057130242091427,0.22448979591836735,True,True,False
1,blind_delay,2026083110,72,49,23,1.1734971762221518,2.857502332285407,0.673469387755102,True,True,False
1,queue_aware,2026083110,49,49,0,1.051943652489481,2.409825823445586,0.6938775510204082,True,True,False
1,blind_delay,2026083111,66,49,17,1.1884084151689336,2.7797140669930043,0.46938775510204084,True,False,True
1,queue_aware,2026083111,49,49,0,1.176988742823404,2.8009345156624743,0.4897959183673469,True,False,True
1,blind_delay,2026083112,53,49,4,1.1754914703733788,2.7914748623657473,0.14285714285714285,True,False,True
1,queue_aware,2026083112,49,49,0,1.156436030861846,2.8087273899376743,0.12244897959183673,True,False,True
1,blind_delay,2026083113,79,49,30,1.2813245909602444,2.8146650570081526,0.7142857142857143,True,False,True
1,queue_aware,2026083113,49,49,0,1.1360143117218742,2.5798052948155594,0.673469387755102,True,True,False
1,blind_delay,2026083114,77,49,28,1.3426695793053116,2.755252903770824,0.6938775510204082,True,False,True
1,queue_aware,2026083114,49,49,0,1.2375610277256097,2.8438315978350435,0.6326530612244898,True,False,True
1,blind_delay,2026083115,71,49,22,1.1822939297217496,2.5835547903708806,0.5918367346938775,True,True,False
1,queue_aware,2026083115,49,49,0,1.1530118259420532,2.779195319209136,0.5918367346938775,True,True,False
1,blind_delay,2026083116,66,49,17,1.169941578678125,2.943437907407686,0.46938775510204084,True,False,True
1,queue_aware,2026083116,49,49,0,1.110606437859024,2.9969844245622523,0.5510204081632653,True,True,False
1,blind_delay,2026083117,50,49,1,1.0682203420078242,2.4877323908364932,0.04081632653061224,True,True,False
1,queue_aware,2026083117,49,49,0,1.0619265276009942,2.486367568500396,0.08163265306122448,True,True,False
1,blind_delay,2026083118,58,49,9,1.0055145698328198,2.960077015738896,0.22448979591836735,True,False,True
1,queue_aware,2026083118,49,49,0,0.9527777120656032,2.8150254514155235,0.22448979591836735,True,True,False
1,blind_delay,2026083119,69,49,20,1.3899010181607294,2.9914792636232352,0.5306122448979592,True,False,True
1,queue_aware,2026083119,49,49,0,1.247362094839699,2.9257667729322203,0.5102040816326531,True,False,True
1,blind_delay,2026083120,60,49,11,1.1660397091455943,2.848598684533826,0.22448979591836735,True,True,False
1,queue_aware,2026083120,49,49,0,1.0815319803718697,2.7242386456465084,0.2653061224489796,True,False,True
1,blind_delay,2026083121,60,49,11,1.0717662138495416,2.8073659628400462,0.2857142857142857,True,True,False
1,queue_aware,2026083121,49,49,0,1.042147382611546,2.337029242921864,0.32653061224489793,True,False,True
1,blind_delay,2026083122,66,49,17,1.244927339540142,2.7382059966620744,0.4897959183673469,True,True,False
1,queue_aware,2026083122,49,49,0,1.2567521286713952,2.922722864715096,0.5306122448979592,True,True,False
1,blind_delay,2026083123,84,49,35,1.2152185951470562,2.6175200301431416,0.8367346938775511,True,False,True
1,queue_aware,2026083123,49,49,0,1.0454575107450328,2.64856495905672,0.8571428571428571,True,True,False
1,blind_delay,2026083124,66,49,17,1.2229438284076135,2.34260853107488,0.40816326530612246,True,True,False
1,queue_aware,2026083124,49,49,0,1.2099811032996484,2.7835668371936215,0.5102040816326531,True,False,True
1,blind_delay,2026083125,63,49,14,1.1265990802175851,2.060127320995643,0.3673469387755102,True,False,True
1,queue_aware,2026083125,49,49,0,1.0751052715667577,2.3480122736840494,0.3469387755102041,True,False,True
1,blind_delay,2026083126,70,49,21,1.2623277271142042,2.7872617116612823,0.673469387755102,True,True,False
1,queue_aware,2026083126,49,49,0,1.1946313462752436,2.720185630368038,0.7551020408163265,True,False,True
1,blind_delay,2026083127,79,49,30,1.1082641968107116,2.64470942158939,0.7551020408163265,True,False,True
1,queue_aware,2026083127,49,49,0,1.0027910358376892,2.3006112753073964,0.8979591836734694,True,False,True
1,blind_delay,2026083128,75,49,26,1.2228217504834038,2.9700085417303725,0.7346938775510204,True,False,True
1,queue_aware,2026083128,49,49,0,1.134237062006682,2.6573170323532405,0.673469387755102,True,False,True
1,blind_delay,2026083129,76,49,27,1.1184375558095716,2.8877101573097983,0.6938775510204082,True,False,True
1,queue_aware,2026083129,49,49,0,1.1111270301195966,2.9413416452240715,0.6938775510204082,True,True,False
2,blind_delay,2026093100,97,49,48,1.3336489844113706,2.931238092864504,0.2857142857142857,True,True,False
2,queue_aware,2026093100,49,49,0,1.1228383887165434,2.8171107580760317,0.32653061224489793,True,False,True
2,blind_delay,2026093101,97,49,48,1.1735019981666586,2.7185076653294833,0.40816326530612246,True,True,False
2,queue_aware,2026093101,49,49,0,1.1389791815699617,2.5833125441865823,0.3469387755102041,True,False,True
2,blind_delay,2026093102,92,49,43,1.0851435477118418,2.582571566312305,0.5510204081632653,True,False,True
2,queue_aware,2026093102,49,49,0,1.1414905341752772,2.612457824408595,0.5714285714285714,True,True,False
2,blind_delay,2026093103,97,49,48,1.1576106668987771,2.4491692450963334,0.7755102040816326,True,True,False
2,queue_aware,2026093103,49,49,0,1.1212319519279936,2.694543088372156,0.7346938775510204,True,True,False
2,blind_delay,2026093104,96,49,47,1.1149250403608442,2.6154672755836494,0.3673469387755102,True,False,True
2,queue_aware,2026093104,49,49,0,1.0580986905564358,2.309475793698587,0.42857142857142855,True,True,False
2,blind_delay,2026093105,88,49,39,1.2197008076520366,2.81556945166162,0.6326530612244898,True,False,True
2,queue_aware,2026093105,49,49,0,1.207195927869037,2.4443356727760848,0.6530612244897959,True,False,True
2,blind_delay,2026093106,89,49,40,0.9805324264149828,2.1549682359510243,0.8367346938775511,True,True,False
2,queue_aware,2026093106,49,49,0,0.9700857471796297,2.321290583752362,0.8163265306122449,True,False,True
2,blind_delay,2026093107,85,49,36,1.2316380748685263,2.6765089813500698,0.4897959183673469,True,False,True
2,queue_aware,2026093107,49,49,0,1.0995149716142127,2.8713775469564404,0.32653061224489793,True,True,False
2,blind_delay,2026093108,86,49,37,1.1235221554301464,2.810707854039442,0.8367346938775511,True,False,True
2,queue_aware,2026093108,49,49,0,0.9810012213863814,2.295831624904734,0.7755102040816326,True,True,False
2,blind_delay,2026093109,97,49,48,1.0198022932051076,2.7463718276161972,0.2857142857142857,True,True,False
2,queue_aware,2026093109,49,49,0,0.9412784777940981,2.277115630129855,0.24489795918367346,True,False,True
2,blind_delay,2026093110,88,49,39,1.1180060313304627,2.557769067284223,0.6938775510204082,True,False,True
2,queue_aware,2026093110,49,49,0,1.042969986484821,2.351399506540922,0.7142857142857143,True,True,False
2,blind_delay,2026093111,85,49,36,1.2069035066213536,2.8235597038928257,0.3469387755102041,True,True,False
2,queue_aware,2026093111,49,49,0,1.155703685390453,2.495841802768726,0.3673469387755102,True,False,True
2,blind_delay,2026093112,89,49,40,1.2686824601298343,2.5204357088520286,0.4489795918367347,True,True,False
2,queue_aware,2026093112,49,49,0,1.1081401409891696,2.494462943553798,0.5918367346938775,True,False,True
2,blind_delay,2026093113,93,49,44,1.134367561828486,2.6206727578239963,0.10204081632653061,True,True,False
2,queue_aware,2026093113,49,49,0,1.0552725538923784,2.3170861393674165,0.14285714285714285,True,True,False
2,blind_delay,2026093114,91,49,42,1.1502159005634003,2.6063722516506567,0.6122448979591837,True,True,False
2,queue_aware,2026093114,49,49,0,1.0827057433008775,2.566666017282603,0.5510204081632653,True,False,True
2,blind_delay,2026093115,83,49,34,1.3313810265127934,2.814517363546744,0.40816326530612246,True,True,False
2,queue_aware,2026093115,49,49,0,1.177076981946778,2.486086231581087,0.4489795918367347,True,False,True
2,blind_delay,2026093116,88,49,39,1.241583671386301,2.893503299065041,1.0,True,False,True
2,queue_aware,2026093116,49,49,0,1.0657847205959932,2.310219257989764,0.9591836734693877,True,True,False
2,blind_delay,2026093117,90,49,41,1.2631939351382888,3.0262898282044377,0.22448979591836735,True,False,True
2,queue_aware,2026093117,49,49,0,1.1708513101238085,2.7512667992037136,0.14285714285714285,True,False,True
