delay,policy,seed,agents,rounds,mean_min_modulus,min_modulus,mean_sector_margin,min_sector_margin,mean_pair_separation,min_pair_separation,branch_crossing_samples
0,blind_delay,2026073700,24,120,0.9339530298383613,0.9125839090835608,-0.2061605503838209,-0.3782881068472085,0.0016832144191627008,1.7159924189223962e-05,3652
0,queue_aware,2026073700,24,120,0.9339530298383613,0.9125839090835608,-0.2061605503838209,-0.3782881068472085,0.0016832144191627008,1.7159924189223962e-05,3652
0,blind_delay,2026073701,24,120,0.9579817257323886,0.8972461582607443,-0.19156660799271855,-0.38004685393592297,0.0023099922308977244,0.00011044720203763605,3636
0,queue_aware,2026073701,24,120,0.9579817257323886,0.8972461582607443,-0.19156660799271855,-0.38004685393592297,0.0023099922308977244,0.00011044720203763605,3636
0,blind_delay,2026073702,24,120,0.9623526090663245,0.9347676689267066,-0.16499337071351897,-0.32672688640277314,0.001470923990436821,4.5245119070471845e-06,3631
0,queue_aware,2026073702,24,120,0.9623526090663245,0.9347676689267066,-0.16499337071351897,-0.32672688640277314,0.001470923990436821,4.5245119070471845e-06,3631
0,blind_delay,2026073703,24,120,0.9401399060499107,0.9167234058102451,-0.18465230027696983,-0.3769763442923072,0.0020048491174963607,7.220057710739613e-05,3629
0,queue_aware,2026073703,24,120,0.9401399060499107,0.9167234058102451,-0.18465230027696983,-0.3769763442923072,0.0020048491174963607,7.220057710739613e-05,3629
0,blind_delay,2026073704,24,120,0.955025368605819,0.9507450267865979,-0.1803362205585505,-0.3749115832702359,0.0008416153830080553,3.258655511542586e-05,3594
0,queue_aware,2026073704,24,120,0.955025368605819,0.9507450267865979,-0.1803362205585505,-0.3749115832702359,0.0008416153830080553,3.258655511542586e-05,3594
0,blind_delay,2026073705,24,120,0.9578132498223669,0.9509327173269099,-0.16920886042586905,-0.35363746602234813,0.0009834946865183844,5.7678876040236086e-05,3589
0,queue_aware,2026073705,24,120,0.9578132498223669,0.9509327173269099,-0.16920886042586905,-0.35363746602234813,0.0009834946865183844,5.7678876040236086e-05,3589
0,blind_delay,2026073706,24,120,0.9219205795457549,0.8653070634227111,-0.19925068051184242,-0.3882475731071912,0.0020197634200873993,5.444904611143209e-05,3637
0,queue_aware,2026073706,24,120,0.9219205795457549,0.8653070634227111,-0.19925068051184242,-0.3882475731071912,0.0020197634200873993,5.444904611143209e-05,3637
0,blind_delay,2026073707,24,120,0.9177300166872553,0.9014464246648526,-0.15175993645122385,-0.31735894537587905,0.0005473077132844401,4.042434410025395e-06,3578
0,queue_aware,2026073707,24,120,0.9177300166872553,0.9014464246648526,-0.15175993645122385,-0.31735894537587905,0.0005473077132844401,4.042434410025395e-06,3578
0,blind_delay,2026073708,24,120,0.9247693150307221,0.8498853301329059,-0.18484842574066937,-0.37842040892661144,0.0020481725729757866,7.896158032558055e-05,3603
0,queue_aware,2026073708,24,120,0.9247693150307221,0.8498853301329059,-0.18484842574066937,-0.37842040892661144,0.0020481725729757866,7.896158032558055e-05,3603
0,blind_delay,2026073709,24,120,0.9722687696450449,0.9595478706006337,-0.20247893457518223,-0.39875768516367904,0.0013422150058326763,5.2552473906599714e-05,3654
0,queue_aware,2026073709,24,120,0.9722687696450449,0.9595478706006337,-0.20247893457518223,-0.39875768516367904,0.0013422150058326763,5.2552473906599714e-05,3654
0,blind_delay,2026073710,24,120,0.9381539357770533,0.9318353242498904,-0.19867596422740472,-0.39416430434596594,0.0009502010467442802,3.625056724750815e-05,3672
0,queue_aware,2026073710,24,120,0.9381539357770533,0.9318353242498904,-0.19867596422740472,-0.39416430434596594,0.0009502010467442802,3.625056724750815e-05,3672
0,blind_delay,2026073711,24,120,0.9559381745195046,0.9316523718771962,-0.17421395902471287,-0.36234171889460426,0.001767235209610875,6.098292277236828e-05,3545
0,queue_aware,2026073711,24,120,0.9559381745195046,0.9316523718771962,-0.17421395902471287,-0.36234171889460426,0.001767235209610875,6.098292277236828e-05,3545
0,blind_delay,2026073712,24,120,0.9524826859718177,0.8932484459399397,-0.18703470311624126,-0.3759321999306189,0.0006702189753956444,4.008839029948279e-05,3631
0,queue_aware,2026073712,24,120,0.9524826859718177,0.8932484459399397,-0.18703470311624126,-0.3759321999306189,0.0006702189753956444,4.008839029948279e-05,3631
0,blind_delay,2026073713,24,120,0.9586948492111103,0.907491817931939,-0.1790507893224935,-0.34217441392363324,0.0011157729560321281,2.2294828615427128e-05,3653
0,queue_aware,2026073713,24,120,0.9586948492111103,0.907491817931939,-0.1790507893224935,-0.34217441392363324,0.0011157729560321281,2.2294828615427128e-05,3653
0,blind_delay,2026073714,24,120,0.9292782161747585,0.9048939968230459,-0.17202471842663675,-0.35281969988921263,0.0019141618880034598,8.098278564138285e-05,3613
0,queue_aware,2026073714,24,120,0.9292782161747585,0.9048939968230459,-0.17202471842663675,-0.35281969988921263,0.0019141618880034598,8.098278564138285e-05,3613
0,blind_delay,2026073715,24,120,0.9565419266139857,0.9254412436826402,-0.192479451005532,-0.38252615612324764,0.0020215098166435916,3.3220193706074005e-05,3656
0,queue_aware,2026073715,24,120,0.9565419266139857,0.9254412436826402,-0.192479451005532,-0.38252615612324764,0.0020215098166435916,3.3220193706074005e-05,3656
0,blind_delay,2026073716,24,120,0.9639272535087222,0.953431009211696,-0.16542882660999342,-0.34417751782134764,0.0010760286826502058,3.0818061703023925e-05,3583
0,queue_aware,2026073716,24,120,0.9639272535087222,0.953431009211696,-0.16542882660999342,-0.34417751782134764,0.0010760286826502058,3.0818061703023925e-05,3583
0,blind_delay,2026073717,24,120,0.9447046700766454,0.9252014740451459,-0.173123328361687,-0.33320321554238086,0.0014206998002139735,1.2726638309695796e-05,3696
0,queue_aware,2026073717,24,120,0.9447046700766454,0.9252014740451459,-0.173123328361687,-0.33320321554238086,0.0014206998002139735,1.2726638309695796e-05,3696
0,blind_delay,2026073718,24,120,0.9449893834945703,0.9367019061979829,-0.19265633673809723,-0.3944206290187924,0.0014552801632742069,2.142337246601511e-05,3599
0,queue_aware,2026073718,24,120,0.9449893834945703,0.9367019061979829,-0.19265633673809723,-0.3944206290187924,0.0014552801632742069,2.142337246601511e-05,3599
0,blind_delay,2026073719,24,120,0.9327628313204737,0.9179257447600733,-0.1784047517183915,-0.3715470540083489,0.0010222566670277454,1.5009099352281876e-05,3564
0,queue_aware,2026073719,24,120,0.9327628313204737,0.9179257447600733,-0.1784047517183915,-0.3715470540083489,0.0010222566670277454,1.5009099352281876e-05,3564
0,blind_delay,2026073720,24,120,0.9400192270144335,0.9202752233045687,-0.14230473857064443,-0.29258385551301064,0.0017356374758821249,1.5217628854175422e-05,3574
0,queue_aware,2026073720,24,120,0.9400192270144335,0.9202752233045687,-0.14230473857064443,-0.29258385551301064,0.0017356374758821249,1.5217628854175422e-05,3574
0,blind_delay,2026073721,24,120,0.937910210112777,0.9311217623641814,-0.18125066909085472,-0.3773621321749549,0.0011575019004517893,4.68403235182942e-05,3588
0,queue_aware,2026073721,24,120,0.937910210112777,0.9311217623641814,-0.18125066909085472,-0.3773621321749549,0.0011575019004517893,4.68403235182942e-05,3588
0,blind_delay,2026073722,24,120,0.9368203443553077,0.8906478676571141,-0.2109658209320675,-0.4034631223373644,0.0032025370915710126,1.8531643095817358e-05,3665
0,queue_aware,2026073722,24,120,0.9368203443553077,0.8906478676571141,-0.2109658209320675,-0.4034631223373644,0.0032025370915710126,1.8531643095817358e-05,3665
0,blind_delay,2026073723,24,120,0.9337696068031375,0.9201639755618402,-0.15466349488306003,-0.3268262383704044,0.0018324674269009106,3.637640792351264e-05,3585
0,queue_aware,2026073723,24,120,0.9337696068031375,0.9201639755618402,-0.15466349488306003,-0.3268262383704044,0.0018324674269009106,3.637640792351264e-05,3585
0,blind_delay,2026073724,24,120,0.947896835478046,0.9022053202896247,-0.18257733483743405,-0.37175249357679485,0.0012494670613162303,6.278084576432985e-05,3611
0,queue_aware,2026073724,24,120,0.947896835478046,0.9022053202896247,-0.18257733483743405,-0.37175249357679485,0.0012494670613162303,6.278084576432985e-05,3611
0,blind_delay,2026073725,24,120,0.923139442199312,0.9158944592673144,-0.21200093427713781,-0.3830522668922244,0.001315863587812413,2.9064689899635356e-05,3691
0,queue_aware,2026073725,24,120,0.923139442199312,0.9158944592673144,-0.21200093427713781,-0.3830522668922244,0.001315863587812413,2.9064689899635356e-05,3691
0,blind_delay,2026073726,24,120,0.9298798374968791,0.9100476316837937,-0.18429802846155083,-0.3726732886307699,0.0018244018832787709,4.7570024452619874e-05,3631
0,queue_aware,2026073726,24,120,0.9298798374968791,0.9100476316837937,-0.18429802846155083,-0.3726732886307699,0.0018244018832787709,4.7570024452619874e-05,3631
0,blind_delay,2026073727,24,120,0.9357980541527852,0.9179867743905361,-0.1607432396923299,-0.3426148656210175,0.001022263291116871,4.6665974327372744e-05,3559
0,queue_aware,2026073727,24,120,0.9357980541527852,0.9179867743905361,-0.1607432396923299,-0.3426148656210175,0.001022263291116871,4.6665974327372744e-05,3559
0,blind_delay,2026073728,24,120,0.9721859966196983,0.9168504177909426,-0.1612851257462585,-0.3221320386219625,0.0014055953543415595,4.542060270450066e-05,3594
0,queue_aware,2026073728,24,120,0.9721859966196983,0.9168504177909426,-0.1612851257462585,-0.3221320386219625,0.0014055953543415595,4.542060270450066e-05,3594
0,blind_delay,2026073729,24,120,0.9636562148949224,0.9568166869103679,-0.1713238039527754,-0.3471413774051293,0.0014334007258732467,3.8763348564740976e-05,3624
