delay,background_rate,policy,seed,agents,rounds,capacity_per_agent,useful_expected,useful_processed,useful_fresh,useful_stale,useful_delivery_rate,useful_fresh_rate,stale_useful_rate,background_processed,mean_useful_wait,mean_backlog,max_backlog
0,1.0,priority_deduplicating,2026173900,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1145.6833333333334,2194
0,1.0,fifo_blind,2026173901,12,180,2,4320,2863,48,2815,0.6627314814814815,0.016765630457562,0.983234369542438,1433,29.931540342298288,1109.2444444444445,2212
0,1.0,priority_deduplicating,2026173901,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1109.2444444444445,2212
0,1.0,fifo_blind,2026173902,12,180,2,4320,2858,48,2810,0.6615740740740741,0.016794961511546535,0.9832050384884534,1438,30.2890132960112,1112.3777777777777,2187
0,1.0,priority_deduplicating,2026173902,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1112.3777777777777,2187
0,1.0,fifo_blind,2026173903,12,180,2,4320,2870,42,2828,0.6643518518518519,0.014634146341463415,0.9853658536585366,1426,30.713937282229963,1113.3555555555556,2193
0,1.0,priority_deduplicating,2026173903,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1113.3555555555556,2193
0,1.0,fifo_blind,2026173904,12,180,2,4320,2847,56,2791,0.6590277777777778,0.01966982788900597,0.980330172110994,1449,30.512469265893923,1130.0666666666666,2240
0,1.0,priority_deduplicating,2026173904,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1130.0666666666666,2240
0,1.0,fifo_blind,2026173905,12,180,2,4320,2918,47,2871,0.6754629629629629,0.01610692254969157,0.9838930774503084,1378,29.777930089102124,1069.2888888888888,2123
0,1.0,priority_deduplicating,2026173905,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1069.2888888888888,2123
