topology,delay,policy,seed,agents,rounds,mean_spectral_edge,mean_loop_residual,mean_receipt_age,mean_disagreement
ring,0,blind_delay,2026073800,24,120,0.0,0.23529411764705888,0.0,0.3961939368582056
ring,0,queue_aware,2026073800,24,120,0.0,0.23529411764705888,0.0,0.3961939368582056
ring,0,blind_delay,2026073801,24,120,0.0,0.23529411764705888,0.0,0.38402594422832087
ring,0,queue_aware,2026073801,24,120,0.0,0.23529411764705888,0.0,0.38402594422832087
ring,0,blind_delay,2026073802,24,120,0.0,0.23529411764705888,0.0,0.3729615206881656
ring,0,queue_aware,2026073802,24,120,0.0,0.23529411764705888,0.0,0.3729615206881656
ring,0,blind_delay,2026073803,24,120,0.0,0.23529411764705888,0.0,0.3948426358937491
ring,0,queue_aware,2026073803,24,120,0.0,0.23529411764705888,0.0,0.3948426358937491
ring,0,blind_delay,2026073804,24,120,0.0,0.23529411764705888,0.0,0.3936446334900086
ring,0,queue_aware,2026073804,24,120,0.0,0.23529411764705888,0.0,0.3936446334900086
ring,0,blind_delay,2026073805,24,120,0.0,0.23529411764705888,0.0,0.3834771049245032
ring,0,queue_aware,2026073805,24,120,0.0,0.23529411764705888,0.0,0.3834771049245032
ring,0,blind_delay,2026073806,24,120,0.0,0.23529411764705888,0.0,0.37932869014131765
ring,0,queue_aware,2026073806,24,120,0.0,0.23529411764705888,0.0,0.37932869014131765
ring,0,blind_delay,2026073807,24,120,0.0,0.23529411764705888,0.0,0.39260896388915495
ring,0,queue_aware,2026073807,24,120,0.0,0.23529411764705888,0.0,0.39260896388915495
ring,0,blind_delay,2026073808,24,120,0.0,0.23529411764705888,0.0,0.3748798888457016
ring,0,queue_aware,2026073808,24,120,0.0,0.23529411764705888,0.0,0.3748798888457016
ring,0,blind_delay,2026073809,24,120,0.0,0.23529411764705888,0.0,0.3895817357331017
ring,0,queue_aware,2026073809,24,120,0.0,0.23529411764705888,0.0,0.3895817357331017
ring,0,blind_delay,2026073810,24,120,0.0,0.23529411764705888,0.0,0.38646802339804187
ring,0,queue_aware,2026073810,24,120,0.0,0.23529411764705888,0.0,0.38646802339804187
ring,0,blind_delay,2026073811,24,120,0.0,0.23529411764705888,0.0,0.3718292243939885
ring,0,queue_aware,2026073811,24,120,0.0,0.23529411764705888,0.0,0.3718292243939885
ring,0,blind_delay,2026073812,24,120,0.0,0.23529411764705888,0.0,0.39248273622285446
ring,0,queue_aware,2026073812,24,120,0.0,0.23529411764705888,0.0,0.39248273622285446
ring,0,blind_delay,2026073813,24,120,0.0,0.23529411764705888,0.0,0.3947166034449726
ring,0,queue_aware,2026073813,24,120,0.0,0.23529411764705888,0.0,0.3947166034449726
ring,0,blind_delay,2026073814,24,120,0.0,0.23529411764705888,0.0,0.3760603848014733
ring,0,queue_aware,2026073814,24,120,0.0,0.23529411764705888,0.0,0.3760603848014733
ring,1,blind_delay,2026083800,24,120,0.0,0.23529411764705888,0.0,0.3909579794057259
ring,1,queue_aware,2026083800,24,120,0.0,0.23529411764705888,0.0,0.3909579794057259
ring,1,blind_delay,2026083801,24,120,0.0,0.23529411764705888,0.0,0.3889992169425974
ring,1,queue_aware,2026083801,24,120,0.0,0.23529411764705888,0.0,0.3889992169425974
ring,1,blind_delay,2026083802,24,120,0.0,0.23529411764705888,0.0,0.3790296720786761
ring,1,queue_aware,2026083802,24,120,0.0,0.23529411764705888,0.0,0.3790296720786761
