delay,policy,n_games,mean_spectral_edge,mean_p95_spectral_edge,mean_loop_residual,mean_p95_loop_residual,mean_receipt_age,mean_single_entry_delta_m,mean_stability_proxy,mean_delta_to_proxy_ratio,mean_derivative_relative_error,mean_disagreement,mean_max_disagreement,mean_spectral_edge_exceedance_rate,mean_state_overshoot_count
0,blind_delay,30,0.0,0.0,0.23529411764705885,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.35939583411626536,0.7003914405234948,0.0,0.0
0,queue_aware,30,0.0,0.0,0.23529411764705885,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.35939583411626536,0.7003914405234948,0.0,0.0
1,blind_delay,30,0.0,0.0,0.23529411764705885,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.35908129784286374,0.704675019810138,0.0,0.0
1,queue_aware,30,0.0,0.0,0.23529411764705885,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.35908129784286374,0.704675019810138,0.0,0.0
2,blind_delay,30,1.4543641155891442,1.4624890547823808,0.04963164936503011,0.04859442887183444,0.9944444444444438,0.0002689028823939538,0.04613806645422548,0.0057958427399004055,8.514328338410201e-05,0.2533647872407848,0.551976699251691,0.0,0.0
2,queue_aware,30,0.0,0.0,0.23529411764705885,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.3593666240323488,0.7171013587649823,0.0,0.0
3,blind_delay,30,1.4543641155891442,1.4624890547823808,0.04963164936503011,0.04859442887183444,1.983333333333334,0.0002689028823939538,0.04613806645422548,0.0057958427399004055,8.514328338410201e-05,0.23003592365380307,0.4755176048087297,0.0,0.0
3,queue_aware,30,0.0,0.0,0.23529411764705885,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.35850053961228456,0.70155129703289,0.0,0.0
5,blind_delay,30,1.4543641155891442,1.4624890547823808,0.04963164936503011,0.04859442887183444,3.9444444444444433,0.0002689028823939538,0.04613806645422548,0.0057958427399004055,8.514328338410201e-05,0.23455784945646255,0.41323136531308413,0.0,0.0
5,queue_aware,30,0.0,0.0,0.23529411764705885,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.35694758622689043,0.6840886114630501,0.0,0.0
