delay,policy,seed,turns,moves,stale_conflicts,full_board,blue_win,yellow_win
1,blind_delay,2026083005,49,49,0,True,True,False
1,queue_aware,2026083005,49,49,0,True,True,False
1,blind_delay,2026083006,49,49,0,True,True,False
1,queue_aware,2026083006,49,49,0,True,True,False
1,blind_delay,2026083007,49,49,0,True,False,True
1,queue_aware,2026083007,49,49,0,True,False,True
1,blind_delay,2026083008,49,49,0,True,True,False
1,queue_aware,2026083008,49,49,0,True,True,False
1,blind_delay,2026083009,49,49,0,True,True,False
1,queue_aware,2026083009,49,49,0,True,True,False
1,blind_delay,2026083010,49,49,0,True,False,True
1,queue_aware,2026083010,49,49,0,True,False,True
1,blind_delay,2026083011,49,49,0,True,False,True
1,queue_aware,2026083011,49,49,0,True,False,True
1,blind_delay,2026083012,49,49,0,True,False,True
1,queue_aware,2026083012,49,49,0,True,False,True
1,blind_delay,2026083013,49,49,0,True,False,True
1,queue_aware,2026083013,49,49,0,True,False,True
1,blind_delay,2026083014,49,49,0,True,False,True
1,queue_aware,2026083014,49,49,0,True,False,True
1,blind_delay,2026083015,49,49,0,True,True,False
1,queue_aware,2026083015,49,49,0,True,True,False
1,blind_delay,2026083016,49,49,0,True,False,True
1,queue_aware,2026083016,49,49,0,True,False,True
1,blind_delay,2026083017,49,49,0,True,True,False
1,queue_aware,2026083017,49,49,0,True,True,False
1,blind_delay,2026083018,49,49,0,True,False,True
1,queue_aware,2026083018,49,49,0,True,False,True
1,blind_delay,2026083019,49,49,0,True,True,False
1,queue_aware,2026083019,49,49,0,True,True,False
1,blind_delay,2026083020,49,49,0,True,False,True
1,queue_aware,2026083020,49,49,0,True,False,True
1,blind_delay,2026083021,49,49,0,True,True,False
1,queue_aware,2026083021,49,49,0,True,True,False
1,blind_delay,2026083022,49,49,0,True,True,False
1,queue_aware,2026083022,49,49,0,True,True,False
1,blind_delay,2026083023,49,49,0,True,False,True
1,queue_aware,2026083023,49,49,0,True,False,True
1,blind_delay,2026083024,49,49,0,True,True,False
1,queue_aware,2026083024,49,49,0,True,True,False
1,blind_delay,2026083025,49,49,0,True,False,True
1,queue_aware,2026083025,49,49,0,True,False,True
1,blind_delay,2026083026,49,49,0,True,True,False
1,queue_aware,2026083026,49,49,0,True,True,False
1,blind_delay,2026083027,49,49,0,True,True,False
1,queue_aware,2026083027,49,49,0,True,True,False
1,blind_delay,2026083028,49,49,0,True,True,False
1,queue_aware,2026083028,49,49,0,True,True,False
1,blind_delay,2026083029,49,49,0,True,True,False
1,queue_aware,2026083029,49,49,0,True,True,False
1,blind_delay,2026083030,49,49,0,True,True,False
1,queue_aware,2026083030,49,49,0,True,True,False
1,blind_delay,2026083031,49,49,0,True,True,False
1,queue_aware,2026083031,49,49,0,True,True,False
1,blind_delay,2026083032,49,49,0,True,True,False
1,queue_aware,2026083032,49,49,0,True,True,False
1,blind_delay,2026083033,49,49,0,True,True,False
1,queue_aware,2026083033,49,49,0,True,True,False
1,blind_delay,2026083034,49,49,0,True,False,True
1,queue_aware,2026083034,49,49,0,True,False,True
1,blind_delay,2026083035,49,49,0,True,False,True
1,queue_aware,2026083035,49,49,0,True,False,True
1,blind_delay,2026083036,49,49,0,True,False,True
1,queue_aware,2026083036,49,49,0,True,False,True
1,blind_delay,2026083037,49,49,0,True,False,True
1,queue_aware,2026083037,49,49,0,True,False,True
1,blind_delay,2026083038,49,49,0,True,False,True
1,queue_aware,2026083038,49,49,0,True,False,True
1,blind_delay,2026083039,49,49,0,True,False,True
1,queue_aware,2026083039,49,49,0,True,False,True
1,blind_delay,2026083040,49,49,0,True,True,False
1,queue_aware,2026083040,49,49,0,True,True,False
1,blind_delay,2026083041,49,49,0,True,True,False
1,queue_aware,2026083041,49,49,0,True,True,False
1,blind_delay,2026083042,49,49,0,True,True,False
1,queue_aware,2026083042,49,49,0,True,True,False
1,blind_delay,2026083043,49,49,0,True,True,False
1,queue_aware,2026083043,49,49,0,True,True,False
1,blind_delay,2026083044,49,49,0,True,True,False
1,queue_aware,2026083044,49,49,0,True,True,False
1,blind_delay,2026083045,49,49,0,True,True,False
1,queue_aware,2026083045,49,49,0,True,True,False
1,blind_delay,2026083046,49,49,0,True,True,False
1,queue_aware,2026083046,49,49,0,True,True,False
1,blind_delay,2026083047,49,49,0,True,False,True
1,queue_aware,2026083047,49,49,0,True,False,True
1,blind_delay,2026083048,49,49,0,True,False,True
1,queue_aware,2026083048,49,49,0,True,False,True
1,blind_delay,2026083049,49,49,0,True,True,False
1,queue_aware,2026083049,49,49,0,True,True,False
2,blind_delay,2026093000,58,49,9,True,False,True
2,queue_aware,2026093000,49,49,0,True,True,False
2,blind_delay,2026093001,53,49,4,True,True,False
2,queue_aware,2026093001,49,49,0,True,False,True
2,blind_delay,2026093002,57,49,8,True,False,True
2,queue_aware,2026093002,49,49,0,True,False,True
2,blind_delay,2026093003,54,49,5,True,False,True
2,queue_aware,2026093003,49,49,0,True,False,True
2,blind_delay,2026093004,57,49,8,True,True,False
2,queue_aware,2026093004,49,49,0,True,False,True
2,blind_delay,2026093005,54,49,5,True,False,True
2,queue_aware,2026093005,49,49,0,True,False,True
2,blind_delay,2026093006,56,49,7,True,False,True
2,queue_aware,2026093006,49,49,0,True,False,True
2,blind_delay,2026093007,55,49,6,True,True,False
2,queue_aware,2026093007,49,49,0,True,False,True
2,blind_delay,2026093008,55,49,6,True,True,False
2,queue_aware,2026093008,49,49,0,True,True,False
2,blind_delay,2026093009,53,49,4,True,False,True
2,queue_aware,2026093009,49,49,0,True,True,False
2,blind_delay,2026093010,60,49,11,True,True,False
2,queue_aware,2026093010,49,49,0,True,True,False
2,blind_delay,2026093011,54,49,5,True,True,False
2,queue_aware,2026093011,49,49,0,True,True,False
2,blind_delay,2026093012,58,49,9,True,False,True
2,queue_aware,2026093012,49,49,0,True,False,True
2,blind_delay,2026093013,53,49,4,True,False,True
2,queue_aware,2026093013,49,49,0,True,False,True
2,blind_delay,2026093014,57,49,8,True,False,True
2,queue_aware,2026093014,49,49,0,True,True,False
2,blind_delay,2026093015,57,49,8,True,True,False
2,queue_aware,2026093015,49,49,0,True,True,False
2,blind_delay,2026093016,56,49,7,True,False,True
2,queue_aware,2026093016,49,49,0,True,True,False
2,blind_delay,2026093017,51,49,2,True,True,False
2,queue_aware,2026093017,49,49,0,True,False,True
2,blind_delay,2026093018,56,49,7,True,True,False
2,queue_aware,2026093018,49,49,0,True,False,True
2,blind_delay,2026093019,56,49,7,True,True,False
2,queue_aware,2026093019,49,49,0,True,True,False
2,blind_delay,2026093020,54,49,5,True,True,False
2,queue_aware,2026093020,49,49,0,True,False,True
2,blind_delay,2026093021,52,49,3,True,False,True
2,queue_aware,2026093021,49,49,0,True,False,True
2,blind_delay,2026093022,53,49,4,True,False,True
2,queue_aware,2026093022,49,49,0,True,True,False
2,blind_delay,2026093023,56,49,7,True,True,False
2,queue_aware,2026093023,49,49,0,True,False,True
2,blind_delay,2026093024,58,49,9,True,False,True
2,queue_aware,2026093024,49,49,0,True,False,True
2,blind_delay,2026093025,55,49,6,True,True,False
2,queue_aware,2026093025,49,49,0,True,False,True
2,blind_delay,2026093026,55,49,6,True,False,True
2,queue_aware,2026093026,49,49,0,True,False,True
2,blind_delay,2026093027,58,49,9,True,True,False
2,queue_aware,2026093027,49,49,0,True,False,True
2,blind_delay,2026093028,57,49,8,True,True,False
2,queue_aware,2026093028,49,49,0,True,True,False
2,blind_delay,2026093029,55,49,6,True,True,False
2,queue_aware,2026093029,49,49,0,True,False,True
2,blind_delay,2026093030,59,49,10,True,True,False
2,queue_aware,2026093030,49,49,0,True,False,True
2,blind_delay,2026093031,55,49,6,True,False,True
2,queue_aware,2026093031,49,49,0,True,True,False
2,blind_delay,2026093032,55,49,6,True,True,False
2,queue_aware,2026093032,49,49,0,True,True,False
2,blind_delay,2026093033,56,49,7,True,False,True
2,queue_aware,2026093033,49,49,0,True,True,False
2,blind_delay,2026093034,57,49,8,True,True,False
2,queue_aware,2026093034,49,49,0,True,False,True
2,blind_delay,2026093035,53,49,4,True,True,False
2,queue_aware,2026093035,49,49,0,True,False,True
2,blind_delay,2026093036,55,49,6,True,True,False
2,queue_aware,2026093036,49,49,0,True,False,True
2,blind_delay,2026093037,55,49,6,True,True,False
2,queue_aware,2026093037,49,49,0,True,False,True
2,blind_delay,2026093038,57,49,8,True,True,False
2,queue_aware,2026093038,49,49,0,True,True,False
2,blind_delay,2026093039,56,49,7,True,True,False
2,queue_aware,2026093039,49,49,0,True,True,False
2,blind_delay,2026093040,53,49,4,True,False,True
2,queue_aware,2026093040,49,49,0,True,False,True
2,blind_delay,2026093041,56,49,7,True,False,True
2,queue_aware,2026093041,49,49,0,True,True,False
2,blind_delay,2026093042,55,49,6,True,False,True
2,queue_aware,2026093042,49,49,0,True,True,False
2,blind_delay,2026093043,56,49,7,True,False,True
2,queue_aware,2026093043,49,49,0,True,True,False
2,blind_delay,2026093044,54,49,5,True,False,True
2,queue_aware,2026093044,49,49,0,True,False,True
2,blind_delay,2026093045,55,49,6,True,True,False
2,queue_aware,2026093045,49,49,0,True,False,True
2,blind_delay,2026093046,55,49,6,True,False,True
2,queue_aware,2026093046,49,49,0,True,False,True
2,blind_delay,2026093047,55,49,6,True,True,False
2,queue_aware,2026093047,49,49,0,True,True,False
2,blind_delay,2026093048,55,49,6,True,True,False
2,queue_aware,2026093048,49,49,0,True,False,True
2,blind_delay,2026093049,53,49,4,True,True,False
2,queue_aware,2026093049,49,49,0,True,True,False
3,blind_delay,2026103000,60,49,11,True,False,True
3,queue_aware,2026103000,49,49,0,True,False,True
3,blind_delay,2026103001,55,49,6,True,True,False
3,queue_aware,2026103001,49,49,0,True,True,False
3,blind_delay,2026103002,56,49,7,True,True,False
3,queue_aware,2026103002,49,49,0,True,True,False
3,blind_delay,2026103003,56,49,7,True,False,True
3,queue_aware,2026103003,49,49,0,True,False,True
3,blind_delay,2026103004,53,49,4,True,False,True
3,queue_aware,2026103004,49,49,0,True,False,True
3,blind_delay,2026103005,52,49,3,True,True,False
3,queue_aware,2026103005,49,49,0,True,False,True
3,blind_delay,2026103006,54,49,5,True,True,False
3,queue_aware,2026103006,49,49,0,True,False,True
3,blind_delay,2026103007,56,49,7,True,True,False
3,queue_aware,2026103007,49,49,0,True,True,False
3,blind_delay,2026103008,55,49,6,True,False,True
3,queue_aware,2026103008,49,49,0,True,False,True
3,blind_delay,2026103009,57,49,8,True,False,True
3,queue_aware,2026103009,49,49,0,True,True,False
3,blind_delay,2026103010,52,49,3,True,True,False
3,queue_aware,2026103010,49,49,0,True,False,True
3,blind_delay,2026103011,54,49,5,True,False,True
3,queue_aware,2026103011,49,49,0,True,False,True
3,blind_delay,2026103012,53,49,4,True,False,True
3,queue_aware,2026103012,49,49,0,True,True,False
3,blind_delay,2026103013,56,49,7,True,False,True
3,queue_aware,2026103013,49,49,0,True,True,False
3,blind_delay,2026103014,53,49,4,True,True,False
3,queue_aware,2026103014,49,49,0,True,True,False
3,blind_delay,2026103015,55,49,6,True,True,False
3,queue_aware,2026103015,49,49,0,True,True,False
3,blind_delay,2026103016,57,49,8,True,False,True
3,queue_aware,2026103016,49,49,0,True,False,True
3,blind_delay,2026103017,53,49,4,True,False,True
3,queue_aware,2026103017,49,49,0,True,False,True
3,blind_delay,2026103018,56,49,7,True,True,False
3,queue_aware,2026103018,49,49,0,True,False,True
3,blind_delay,2026103019,53,49,4,True,True,False
3,queue_aware,2026103019,49,49,0,True,True,False
3,blind_delay,2026103020,58,49,9,True,True,False
3,queue_aware,2026103020,49,49,0,True,True,False
3,blind_delay,2026103021,58,49,9,True,True,False
3,queue_aware,2026103021,49,49,0,True,True,False
