delay,policy,seed,agents,rounds,mean_spectral_edge,p95_spectral_edge,mean_abs_spectral_edge,mean_loop_residual,p95_loop_residual,mean_resolvent_norm,mean_single_entry_delta_m,mean_stability_proxy,mean_delta_to_proxy_ratio,mean_derivative_relative_error,mean_receipt_age,mean_disagreement,max_disagreement,spectral_edge_exceedance_rate,state_overshoot_count,high_age_tail,high_loop_tail,high_disagreement_tail
0,blind_delay,2026073600,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35872971347032395,0.6714516285353318,0.0,0,0,1,0
0,queue_aware,2026073600,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35872971347032395,0.6714516285353318,0.0,0,0,1,0
0,blind_delay,2026073601,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35367998193034567,0.6133926272942987,0.0,0,0,1,0
0,queue_aware,2026073601,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35367998193034567,0.6133926272942987,0.0,0,0,1,0
0,blind_delay,2026073602,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.37135641631685146,0.812168917201046,0.0,0,0,1,0
0,queue_aware,2026073602,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.37135641631685146,0.812168917201046,0.0,0,0,1,0
0,blind_delay,2026073603,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3671813218626593,0.7895160819400067,0.0,0,0,1,0
0,queue_aware,2026073603,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3671813218626593,0.7895160819400067,0.0,0,0,1,0
0,blind_delay,2026073604,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3539776062761565,0.7174390078388769,0.0,0,0,1,0
0,queue_aware,2026073604,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3539776062761565,0.7174390078388769,0.0,0,0,1,0
0,blind_delay,2026073605,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.36532256310302924,0.7503802283124278,0.0,0,0,1,0
0,queue_aware,2026073605,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.36532256310302924,0.7503802283124278,0.0,0,0,1,0
0,blind_delay,2026073606,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3611904454892139,0.7733458026493589,0.0,0,0,1,0
0,queue_aware,2026073606,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3611904454892139,0.7733458026493589,0.0,0,0,1,0
0,blind_delay,2026073607,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.367298712821269,0.8028095945097755,0.0,0,0,1,0
0,queue_aware,2026073607,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.367298712821269,0.8028095945097755,0.0,0,0,1,0
0,blind_delay,2026073608,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3538548989355379,0.6047413738627921,0.0,0,0,1,0
0,queue_aware,2026073608,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3538548989355379,0.6047413738627921,0.0,0,0,1,0
