delay,background_rate,policy,n_games,mean_stale_decision_rate,mean_useful_processed,mean_background_processed,mean_useful_wait,mean_backlog,mean_max_backlog
0,0.0,fifo_blind,20,0.08576388888888889,4296.0,0.0,1.0,24.0,24.0
0,0.0,priority_deduplicating,20,0.08194444444444446,4296.0,0.0,1.0,24.0,24.0
0,1.0,fifo_blind,20,0.45965277777777774,2864.85,1431.15,30.738449471940243,1108.0302777777779,2172.35
0,1.0,priority_deduplicating,20,0.08585648148148148,4296.0,0.0,1.0,1116.8602777777776,2199.85
0,2.0,fifo_blind,20,0.4810300925925926,2152.9,2143.1,45.652947609524155,2190.9583333333335,4327.95
0,2.0,priority_deduplicating,20,0.08601851851851852,4296.0,0.0,1.0,2187.979166666666,4332.0
0,4.0,fifo_blind,20,0.49535879629629626,1436.6,2859.4,60.55778848341167,4358.500555555556,8631.1
0,4.0,priority_deduplicating,20,0.08618055555555555,4296.0,0.0,1.0,4378.386944444444,8676.45
0,8.0,fifo_blind,20,0.49349537037037033,859.0,3437.0,72.53252609171854,8713.371944444441,17285.15
0,8.0,priority_deduplicating,20,0.08550925925925926,4296.0,0.0,1.0,8715.120277777778,17286.8
1,0.0,fifo_blind,20,0.08405092592592592,4296.0,0.0,1.0,24.0,24.0
1,0.0,priority_deduplicating,20,0.08539351851851852,4296.0,0.0,1.0,24.0,24.0
1,1.0,fifo_blind,20,0.4635648148148149,2854.9,1441.1,30.951922485945055,1122.3674999999998,2205.25
1,1.0,priority_deduplicating,20,0.08668981481481482,4296.0,0.0,1.0,1111.5997222222225,2184.9
1,2.0,fifo_blind,20,0.48987268518518523,2151.3,2144.7,45.34336813244608,2188.414166666667,4327.2
1,2.0,priority_deduplicating,20,0.08400462962962964,4296.0,0.0,1.0,2195.6477777777773,4346.6
1,4.0,fifo_blind,20,0.4964236111111111,1425.7,2870.3,60.798737191741736,4394.152777777778,8699.05
1,4.0,priority_deduplicating,20,0.08356481481481483,4296.0,0.0,1.0,4367.016111111111,8677.4
1,8.0,fifo_blind,20,0.49418981481481483,859.85,3436.15,72.47004154514173,8714.071388888888,17313.55
1,8.0,priority_deduplicating,20,0.0850925925925926,4296.0,0.0,1.0,8709.559444444445,17305.3
2,0.0,fifo_blind,20,0.15775462962962963,4272.0,0.0,2.0,47.86666666666667,48.0
2,0.0,priority_deduplicating,20,0.15125000000000002,4272.0,0.0,2.0,47.86666666666667,48.0
2,1.0,fifo_blind,20,0.47741898148148143,2861.05,1421.95,31.17060001857619,1119.1102777777778,2189.6
2,1.0,priority_deduplicating,20,0.15965277777777778,4272.0,11.15,2.0,1132.2569444444446,2211.85
2,2.0,fifo_blind,20,0.4768981481481481,2152.3,2136.85,45.764810164300506,2193.3025,4322.75
2,2.0,priority_deduplicating,20,0.15310185185185182,4272.0,18.35,2.0,2200.8441666666668,4354.7
2,4.0,fifo_blind,20,0.49832175925925937,1436.4,2858.05,60.51370397297139,4356.475555555555,8628.1
2,4.0,priority_deduplicating,20,0.15675925925925926,4272.0,22.5,2.0,4348.973055555556,8634.65
2,8.0,fifo_blind,20,0.4857986111111111,857.15,3438.85,72.13861475449389,8712.855277777777,17290.2
2,8.0,priority_deduplicating,20,0.15414351851851849,4272.0,24.0,2.0,8712.498888888887,17302.85
3,0.0,fifo_blind,20,0.21300925925925931,4248.0,0.0,3.0,71.6,72.0
3,0.0,priority_deduplicating,20,0.21821759259259257,4248.0,0.0,3.0,71.6,72.0
3,1.0,fifo_blind,20,0.4766087962962963,2853.75,1415.3,31.579715579585343,1131.5733333333335,2196.85
3,1.0,priority_deduplicating,20,0.21314814814814814,4248.0,22.75,3.0,1123.5075000000002,2184.6
3,2.0,fifo_blind,20,0.4928703703703704,2150.9,2133.95,45.707408780118314,2197.9772222222223,4349.7
3,2.0,priority_deduplicating,20,0.2154861111111111,4248.0,37.35,3.0,2200.906944444445,4347.45
3,4.0,fifo_blind,20,0.4955902777777778,1434.35,2859.95,60.58427946127203,4376.722777777778,8686.8
3,4.0,priority_deduplicating,20,0.22280092592592596,4248.0,46.65,3.0,4365.080277777777,8645.55
3,8.0,fifo_blind,20,0.49815972222222227,862.55,3433.35,72.31364395671277,8717.045833333334,17330.9
3,8.0,priority_deduplicating,20,0.21518518518518523,4248.0,48.0,3.0,8775.675833333331,17411.65
5,0.0,fifo_blind,20,0.3116203703703704,4200.0,0.0,5.0,118.66666666666667,120.0
5,0.0,priority_deduplicating,20,0.30844907407407407,4200.0,0.0,5.0,118.66666666666667,120.0
5,1.0,fifo_blind,20,0.4894444444444443,2817.55,1427.4,32.82428432913506,1175.1291666666666,2255.4
5,1.0,priority_deduplicating,20,0.3076157407407407,4200.0,46.25,5.0,1151.7941666666666,2216.05
5,2.0,fifo_blind,20,0.4945601851851852,2141.0,2137.55,46.241553848482205,2212.1544444444444,4352.5
5,2.0,priority_deduplicating,20,0.3042592592592593,4200.0,77.55,5.0,2228.919722222222,4387.45
5,4.0,fifo_blind,20,0.492511574074074,1432.25,2861.9,60.463050104925934,4358.532499999999,8636.7
5,4.0,priority_deduplicating,20,0.31210648148148135,4200.0,93.4,5.0,4381.322222222222,8682.0
5,8.0,fifo_blind,20,0.5171527777777778,856.75,3439.25,72.62950947151123,8711.574722222222,17311.1
5,8.0,priority_deduplicating,20,0.3069212962962963,4200.0,95.9,5.0,8731.566111111111,17317.05
