delay,background_rate,policy,n_games,mean_stale_decision_rate,mean_useful_processed,mean_background_processed,mean_useful_wait,mean_background_wait,mean_backlog,mean_max_backlog
3,0.0,priority_deduplicating,10,0.21773148148148147,4248.0,0.0,3.0,0.0,71.60000000000001,72.0
3,0.0,priority_with_aging,10,0.2127314814814815,4248.0,0.0,3.0,0.0,71.60000000000001,72.0
3,1.0,fifo_blind,10,0.4769444444444444,2857.2,1412.4,31.467819178539514,31.60219801225254,1127.9316666666668,2199.9
3,1.0,priority_deduplicating,10,0.21509259259259256,4248.0,22.6,3.0,1.0669294328859547,1129.0194444444446,2194.1
3,1.0,priority_with_aging,10,0.32532407407407404,2312.9,1957.3,3.0,11.585483151922503,1121.293888888889,2187.4
3,2.0,fifo_blind,10,0.4839814814814815,2147.5,2138.2,45.982722675321526,45.9976044832659,2208.267777777778,4370.0
3,2.0,priority_deduplicating,10,0.21662037037037035,4248.0,36.7,3.0,1.1504982742385585,2214.9455555555555,4360.1
3,2.0,priority_with_aging,10,0.34375,2180.9,2103.0,3.0,48.096258711274665,2205.618888888889,4352.2
3,4.0,fifo_blind,10,0.4961805555555555,1437.4,2856.9,60.71671342327504,60.59966369832118,4355.386666666666,8659.6
3,4.0,priority_deduplicating,10,0.21694444444444447,4248.0,46.1,3.0,1.3546441152232143,4343.1527777777765,8610.3
3,4.0,priority_with_aging,10,0.36178240740740736,2168.7,2125.1,3.0,68.90098806671925,4362.846111111112,8686.5
3,8.0,fifo_blind,10,0.4950925925925926,852.6,3443.4,72.22143544477021,72.73873171277133,8711.125,17276.5
3,8.0,priority_deduplicating,10,0.21046296296296294,4248.0,48.0,3.0,1.4958333333333333,8697.984999999999,17294.3
3,8.0,priority_with_aging,10,0.35236111111111107,2160.8,2135.2,3.0,79.91769859170591,8727.012777777778,17311.4
5,0.0,fifo_blind,10,0.30194444444444446,4200.0,0.0,5.0,0.0,118.66666666666667,120.0
5,0.0,priority_deduplicating,10,0.30717592592592596,4200.0,0.0,5.0,0.0,118.66666666666667,120.0
5,0.0,priority_with_aging,10,0.3062037037037037,4200.0,0.0,5.0,0.0,118.66666666666667,120.0
5,1.0,fifo_blind,10,0.48324074074074075,2819.4,1426.4,32.920229269233985,32.80058170569596,1172.7833333333333,2246.4
5,1.0,priority_deduplicating,10,0.3168055555555555,4200.0,44.8,5.0,1.0897262656250275,1148.5455555555557,2208.3
5,1.0,priority_with_aging,10,0.3894212962962963,2273.1,1969.2,5.0,12.447783047078099,1164.6077777777778,2236.4
5,2.0,fifo_blind,10,0.4967592592592592,2155.1,2121.8,45.81368958912836,45.985486740073966,2194.16,4327.5
5,2.0,priority_deduplicating,10,0.3043055555555556,4200.0,78.2,5.0,1.391992173638506,2198.355555555556,4305.2
5,2.0,priority_with_aging,10,0.4099074074074074,2150.8,2127.2,5.0,46.95809843430548,2229.4783333333335,4382.0
5,4.0,fifo_blind,10,0.4883101851851851,1443.9,2850.8,60.270134022402395,60.43193033378286,4351.475555555556,8663.4
5,4.0,priority_deduplicating,10,0.30856481481481485,4200.0,93.7,5.0,1.9045896343548907,4375.513333333333,8665.2
5,4.0,priority_with_aging,10,0.43099537037037033,2132.2,2162.5,5.0,67.21634650251103,4356.177222222223,8651.5
5,8.0,fifo_blind,10,0.5202546296296295,857.4,3438.6,72.572484096657,72.62698968632186,8746.809444444445,17338.9
5,8.0,priority_deduplicating,10,0.3098148148148148,4200.0,96.0,5.0,2.3510416666666667,8694.845,17281.2
5,8.0,priority_with_aging,10,0.4179166666666666,2119.3,2176.7,5.0,77.94131272690132,8709.768333333333,17300.7
