schedule,policy,n_games,mean_delay,mean_stale_event_rate,mean_max_agent_stale_rate,mean_gini_agent_stale_events,mean_max_window_stale_rate,mean_temporal_concentration_ratio,mean_total_stale_events
clustered_same_mean,fifo_blind,40,3.0,0.1882899305555556,0.21984375000000003,0.055993757113054786,0.24958333333333335,1.325857875693617,1084.55
clustered_same_mean,queue_aware_latest,40,3.0,0.17524305555555558,0.20557291666666666,0.057260643157374294,0.23947916666666663,1.3670550277435942,1009.4
spread,fifo_blind,40,3.0,0.21053819444444444,0.2519791666666666,0.06694726027841176,0.32437499999999997,1.542524092454675,1212.7
spread,queue_aware_latest,40,3.0,0.21357638888888886,0.2604687499999999,0.06941219892352617,0.32364583333333324,1.5181657007545146,1230.2
