policy,step,agent,x,y,z,target_x,target_y,target_z,max_message_age,formation_error,minimum_separation,monitor_risk,fallback,unsafe_overlap
blind,0,0,0.0,0.0,4.800000190734863,0.0,0.0,4.800000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,1,2.7838387489318848,0.19808846712112427,5.74570369720459,2.5,0.0,5.550000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,2,1.2841682434082031,2.231339931488037,5.619119644165039,1.2499998807907104,2.1650636196136475,5.550000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,3,-1.3591701984405518,2.1897330284118652,5.295764923095703,-1.2500001192092896,2.1650633811950684,5.550000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,4,-2.629690408706665,0.018598442897200584,5.560069561004639,-2.5,-2.18556948539117e-07,5.550000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,5,-1.4358865022659302,-1.8403503894805908,5.063752174377441,-1.249999761581421,-2.1650636196136475,5.550000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,6,1.4688255786895752,-2.231827974319458,5.432725429534912,1.249999761581421,-2.1650636196136475,5.550000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,7,2.3838157653808594,1.0386730432510376,4.5193915367126465,2.1650633811950684,1.25,4.050000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,8,-0.4279603660106659,2.502108097076416,3.8410403728485107,-1.092784742695585e-07,2.5,4.050000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,9,-2.554191827774048,1.320029854774475,4.245491027832031,-2.1650633811950684,1.2500001192092896,4.050000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,10,-2.5323853492736816,-1.5757778882980347,4.229144096374512,-2.1650633811950684,-1.2500004768371582,4.050000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,0,11,-0.020922565832734108,-2.8710598945617676,4.119601726531982,2.981220248443606e-08,-2.5,4.050000190734863,1,0.34637510776519775,1.403167486190796,0,0,0
blind,1,0,0.005097599700093269,0.006260947324335575,4.80127477645874,0.036000002175569534,0.04421573132276535,4.809000015258789,2,0.2735392451286316,1.4996730089187622,0,0,0
blind,1,1,2.7090117931365967,0.14460766315460205,5.6866536140441895,2.548746347427368,0.04421573132276535,5.515120029449463,2,0.2735392451286316,1.4996730089187622,0,0,0
blind,1,2,1.263268232345581,2.1872470378875732,5.57002067565918,1.2989379167556763,2.2092792987823486,5.5370025634765625,2,0.2735392451286316,1.4996730089187622,0,0,0
blind,1,3,-1.321413516998291,2.181627035140991,5.382382392883301,-1.2006789445877075,2.2092790603637695,5.580767631530762,2,0.2735392451286316,1.4996730089187622,0,0,0
blind,1,4,-2.557079553604126,0.008459886536002159,5.560760498046875,-2.4504873752593994,0.04421551153063774,5.602650165557861,2,0.2735392451286316,1.4996730089187622,0,0,0
blind,1,5,-1.3926979303359985,-1.9124987125396729,5.174874305725098,-1.2006785869598389,-2.1208479404449463,5.580767631530762,2,0.2735392451286316,1.4996730089187622,0,0,0
