policy,step,active_nodes,edge_count,edge_codes,prime_sum_addition,prime_normalized_division,persistence_log10_exponentiation
delay_blind,0,0,0,,0,0.0,0
delay_blind,1,0,0,,0,0.0,0
delay_blind,2,0,0,,0,0.0,0
delay_blind,3,0,0,,0,0.0,0
delay_blind,4,0,0,,0,0.0,0
delay_blind,5,0,0,,0,0.0,0
delay_blind,6,0,0,,0,0.0,0
delay_blind,7,0,0,,0,0.0,0
delay_blind,8,0,0,,0,0.0,0
delay_blind,9,0,0,,0,0.0,0
delay_blind,10,0,0,,0,0.0,0
delay_blind,11,1,0,,0,0.0,0
delay_blind,12,1,0,,0,0.0,0
delay_blind,13,1,0,,0,0.0,0
delay_blind,14,2,0,,0,0.0,0
delay_blind,15,2,0,,0,0.0,0
delay_blind,16,2,0,,0,0.0,0
delay_blind,17,3,0,,0,0.0,0
delay_blind,18,3,0,,0,0.0,0
delay_blind,19,3,0,,0,0.0,0
delay_blind,20,3,0,,0,0.0,0
delay_blind,21,3,0,,0,0.0,0
delay_blind,22,3,0,,0,0.0,0
delay_blind,23,3,0,,0,0.0,0
delay_blind,24,3,0,,0,0.0,0
delay_blind,25,3,0,,0,0.0,0
delay_blind,26,3,0,,0,0.0,0
delay_blind,27,4,0,,0,0.0,0
delay_blind,28,5,0,,0,0.0,0
delay_blind,29,5,0,,0,0.0,0
delay_blind,30,5,0,,0,0.0,0
delay_blind,31,5,0,,0,0.0,0
delay_blind,32,5,0,,0,0.0,0
delay_blind,33,5,0,,0,0.0,0
delay_blind,34,6,0,,0,0.0,0
delay_blind,35,6,0,,0,0.0,0
delay_blind,36,6,0,,0,0.0,0
delay_blind,37,6,0,,0,0.0,0
delay_blind,38,6,0,,0,0.0,0
delay_blind,39,6,0,,0,0.0,0
delay_blind,40,7,0,,0,0.0,0
delay_blind,41,7,0,,0,0.0,0
delay_blind,42,7,0,,0,0.0,0
delay_blind,43,7,0,,0,0.0,0
delay_blind,44,7,0,,0,0.0,0
delay_blind,45,8,0,,0,0.0,0
delay_blind,46,8,0,,0,0.0,0
delay_blind,47,8,0,,0,0.0,0
delay_blind,48,8,1,33,33,1.1785714285714286,1.5185139398778875
delay_blind,49,8,1,33,33,1.1785714285714286,3.037027879755775
delay_blind,50,8,1,33,33,1.1785714285714286,4.555541819633662
delay_blind,51,8,2,33;65,98,3.5,7.886969116154406
delay_blind,52,8,2,33;65,98,3.5,11.21839641267515
delay_blind,53,8,3,14;33;65,112,4.0,15.69595174487413
delay_blind,54,8,3,14;33;65,112,4.0,20.17350707707311
delay_blind,55,8,3,14;33;65,112,4.0,24.65106240927209
delay_blind,56,8,3,14;33;65,112,4.0,29.12861774147107
delay_blind,57,8,3,14;33;65,112,4.0,33.60617307367005
delay_blind,58,8,3,14;33;65,112,4.0,38.08372840586904
delay_blind,59,8,3,14;33;65,112,4.0,42.56128373806801
delay_blind,60,8,3,14;33;65,112,4.0,47.03883907026699
delay_blind,61,8,3,14;33;65,112,4.0,51.51639440246598
delay_blind,62,8,3,14;33;65,112,4.0,55.99394973466495
delay_blind,63,8,3,14;33;65,112,4.0,60.47150506686394
delay_blind,64,8,3,14;33;65,112,4.0,64.94906039906292
delay_blind,65,8,5,14;34;33;65;119,265,9.464285714285714,73.03364160969669
delay_blind,66,8,7,14;34;33;57;65;119;209,531,18.964285714285715,85.19424396211399
delay_blind,67,8,7,14;34;33;57;65;119;209,531,18.964285714285715,97.35484631453131
delay_blind,68,8,7,14;34;33;57;65;119;209,531,18.964285714285715,109.51544866694861
delay_blind,69,8,7,14;34;33;57;65;119;209,531,18.964285714285715,121.67605101936593
delay_blind,70,8,7,14;34;33;57;65;119;209,531,18.964285714285715,133.83665337178323
delay_blind,71,8,7,14;34;33;57;65;119;209,531,18.964285714285715,145.99725572420056
delay_blind,72,8,7,14;34;33;57;65;119;209,531,18.964285714285715,158.15785807661788
delay_blind,73,8,7,14;34;33;57;65;119;209,531,18.964285714285715,170.31846042903518
delay_blind,74,8,7,14;34;33;57;65;119;209,531,18.964285714285715,182.4790627814525
delay_blind,75,8,7,14;34;33;57;65;119;209,531,18.964285714285715,194.6396651338698
delay_blind,76,8,7,14;34;33;57;65;119;209,531,18.964285714285715,206.80026748628714
delay_blind,77,8,7,14;34;33;57;65;119;209,531,18.964285714285715,218.96086983870447
delay_blind,78,8,7,14;34;33;57;65;119;209,531,18.964285714285715,231.12147219112174
delay_blind,79,8,7,14;34;33;57;65;119;209,531,18.964285714285715,243.28207454353907
delay_blind,80,8,7,14;34;33;57;65;119;209,531,18.964285714285715,255.4426768959564
delay_blind,81,8,7,14;34;33;57;65;119;209,531,18.964285714285715,267.60327924837367
delay_blind,82,8,7,14;34;33;57;65;119;209,531,18.964285714285715,279.763881600791
delay_blind,83,8,7,14;34;33;57;65;119;209,531,18.964285714285715,291.9244839532083
delay_blind,84,8,7,14;34;33;57;65;119;209,531,18.964285714285715,304.0850863056256
delay_blind,85,8,7,14;34;33;57;65;119;209,531,18.964285714285715,316.2456886580429
delay_blind,86,8,7,14;34;33;57;65;119;209,531,18.964285714285715,328.4062910104602
delay_blind,87,8,7,14;34;33;57;65;119;209,531,18.964285714285715,340.5668933628776
delay_blind,88,8,7,14;34;33;57;65;119;209,531,18.964285714285715,352.7274957152948
delay_blind,89,8,7,14;34;33;57;65;119;209,531,18.964285714285715,364.8880980677121
delay_blind,90,8,7,14;34;33;57;65;119;209,531,18.964285714285715,377.04870042012953
delay_blind,91,8,7,14;34;33;57;65;119;209,531,18.964285714285715,389.2093027725468
delay_blind,92,8,7,14;34;33;57;65;119;209,531,18.964285714285715,401.36990512496413
delay_blind,93,8,7,14;34;33;57;65;119;209,531,18.964285714285715,413.5305074773815
delay_blind,94,8,7,14;34;33;57;65;119;209,531,18.964285714285715,425.69110982979873
delay_blind,95,8,7,14;34;33;57;65;119;209,531,18.964285714285715,437.8517121822161
delay_blind,96,8,7,14;34;33;57;65;119;209,531,18.964285714285715,450.01231453463333
delay_blind,97,8,7,14;34;33;57;65;119;209,531,18.964285714285715,462.1729168870507
delay_blind,98,8,7,14;34;33;57;65;119;209,531,18.964285714285715,474.33351923946805
delay_blind,99,8,7,14;34;33;57;65;119;209,531,18.964285714285715,486.4941215918853
delay_blind,100,8,7,14;34;33;57;65;119;209,531,18.964285714285715,498.65472394430265
delay_blind,101,8,7,14;34;33;57;65;119;209,531,18.964285714285715,510.8153262967199
delay_blind,102,8,7,14;34;33;57;65;119;209,531,18.964285714285715,522.9759286491372
delay_blind,103,8,7,14;34;33;57;65;119;209,531,18.964285714285715,535.1365310015545
delay_blind,104,8,7,14;34;33;57;65;119;209,531,18.964285714285715,547.2971333539718
delay_blind,105,8,7,14;34;33;57;65;119;209,531,18.964285714285715,559.4577357063891
delay_blind,106,8,7,14;34;33;57;65;119;209,531,18.964285714285715,571.6183380588064
