policy,step,helicopter,pad,x,y,z,phase,clearance_issued,clearance_delivered,message_age,slot_start,slot_end,clearance_version,decision,accepted,stale_rejected,conflict_step
delay_blind,5,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,6,0,0,8.900332889206208,6.993346653975306,8.0,hold,10,11,0,12,24,1,waiting,0,0,0
delay_blind,6,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,0,14,26,2,waiting,0,0,0
delay_blind,6,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,6,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,6,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,6,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,6,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,6,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,7,0,0,8.900332889206208,6.993346653975306,8.0,hold,10,11,0,12,24,1,waiting,0,0,0
delay_blind,7,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,0,14,26,2,waiting,0,0,0
delay_blind,7,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,7,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,7,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,7,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,7,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,7,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,8,0,0,8.900332889206208,6.993346653975306,8.0,hold,10,11,0,12,24,1,waiting,0,0,0
delay_blind,8,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,0,14,26,2,waiting,0,0,0
delay_blind,8,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,8,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,8,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,8,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,8,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,8,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,9,0,0,8.900332889206208,6.993346653975306,8.0,hold,10,11,0,12,24,1,waiting,0,0,0
delay_blind,9,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,0,14,26,2,waiting,0,0,0
delay_blind,9,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,9,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,9,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,9,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,9,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,9,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,10,0,0,8.900332889206208,6.993346653975306,8.0,hold,10,11,0,12,24,1,waiting,0,0,0
delay_blind,10,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,0,14,26,2,waiting,0,0,0
delay_blind,10,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,10,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
