policy,helicopters,landing_pads,clearance_messages,accepted_clearances,stale_rejections,landed_helicopters,conflict_steps,conflict_pair_steps,conflict_pairs,max_clearance_age,freshness_threshold
delay_blind,8,3,8,8,0,8,132,846,7,169,3
queue_aware,8,3,8,4,4,4,115,115,1,169,3
