policy,step,active_nodes,edge_count,mean_degree,max_degree,network_density,components,largest_component,algebraic_connectivity,triangles
delay_blind,83,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,84,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,85,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,86,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,87,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,88,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,89,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,90,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,91,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,92,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,93,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,94,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,95,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,96,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,97,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,98,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,99,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,100,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,101,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,102,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,103,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,104,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,105,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,106,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,107,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,108,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,109,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,110,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,111,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,112,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,113,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,114,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,115,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,116,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,117,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,118,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,119,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,120,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,121,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,122,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,123,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,124,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,125,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,126,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,127,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,128,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,129,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,130,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,131,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,132,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,133,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,134,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,135,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,136,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,137,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,138,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,139,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,140,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,141,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,142,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,143,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,144,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,145,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,146,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,147,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,148,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,149,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,150,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,151,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,152,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,153,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,154,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,155,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,156,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,157,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,158,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,159,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,160,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,161,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,162,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,163,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,164,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,165,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,166,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,167,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,168,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,169,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,170,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,171,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,172,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,173,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,174,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,175,8,7,1.75,2,0.25,3,3,3.0,2
